# tau_c curve at v=0.5
note,midi,alpha,K,mass_kg,tau_old_s,tau_new_s,ratio,vel_exp_new
C1,24,2.3000,4e+08,0.012000,0.004595,0.003130,0.6811,-0.3939
D1,26,2.3000,4e+08,0.011833,0.004428,0.003116,0.7038,-0.3939
C2,36,2.3000,4e+08,0.011000,0.003681,0.003048,0.8281,-0.3939
C4,60,2.5000,4.5e+09,0.009000,0.002362,0.002250,0.9524,-0.4286
A4,69,2.6250,1.737e+10,0.008250,0.002000,0.002000,1.0000,-0.4483
D5,74,2.6944,3.68e+10,0.007833,0.001823,0.001878,1.0300,-0.4586
C7,96,3.0000,1e+12,0.006000,0.001214,0.001448,1.1924,-0.5000
C8,108,3.0000,1e+12,0.005000,0.000973,0.001383,1.4222,-0.5000
# predicted f0-band velocity delta 48->96 (dB)
note,midi,f0_hz,pred_old_db,pred_new_db
C1,24,32.7032,6.071,6.065
D1,26,36.7081,6.079,6.077
C2,36,65.4064,6.150,6.192
C4,60,261.6256,6.954,7.782
A4,69,440.0000,8.197,10.826
D5,74,587.3295,9.896,15.934
C7,96,2093.0045,7.302,19.903
C8,108,4186.0090,10.258,14.155
# felt fundamental amplitude shift at event velocity
event,midi,f0_hz,vel,tau_old_s,tau_new_s,f0_shift_db
ocean D1 v=0.85,26,36.708,0.85,0.003982,0.002529,+0.10
akashic D5 v=0.35,74,587.330,0.35,0.001958,0.002212,-6.12
piano C4 v=0.80,60,261.626,0.80,0.002150,0.001839,+0.74
piano C5 v=0.85,72,523.251,0.85,0.001702,0.001513,+1.69
m3 A4 v=0.46,69,440.000,0.46,0.002034,0.002076,-0.36
m3 F4 v=0.42,65,349.228,0.42,0.002230,0.002274,-0.23
