note_name,midi,vel_midi,vel_float,center_string_f0_hz,p1_db,p2_db,p3_db,p4_db,p5_db,p1_amp,p2_amp,p3_amp,p4_amp,p5_amp
C2,36,48,0.3779527559,65.4060,0.0000,3.9972,4.0304,1.2197,-4.8055,0.16643,0.26369,0.2647,0.19152,0.09571
C2,36,96,0.7559055118,65.4060,0.0000,4.5319,5.5412,4.3354,1.0504,0.16974,0.28601,0.32125,0.27961,0.19156
C4,60,48,0.3779527559,261.6260,0.0000,-12.3537,-12.1822,-23.1756,-27.5075,0.34723,0.08374,0.08541,0.02409,0.01463
C4,60,96,0.7559055118,261.6260,0.0000,-1.9515,-32.7228,-13.2127,-39.9045,0.4253,0.33972,0.00983,0.09291,0.0043
C7,96,48,0.3779527559,2093.0040,0.0000,18.0618,11.1261,7.1228,2.2395,0.00085,0.0068,0.00306,0.00193,0.0011
C7,96,96,0.7559055118,2093.0040,0.0000,11.2892,5.7382,-1.3081,-5.6974,0.00422,0.01548,0.00817,0.00363,0.00219
