piece,score_path,wav,len_s,rms_dbfs,sha256
moonlight_sonata_movement1_yangqin,scores/examples/moonlight_sonata_movement1_yangqin.score.json,moonlight_sonata_i_yangqin.wav,317.495,-23.906,49514b007e3e01fc8f9bf2c18b96e92f29ac26975a1f07641df08db48f5a687e
moonlight_sonata_movement1_yangqin_tongue_mix,scores/examples/moonlight_sonata_movement1_yangqin_tongue_mix.score.json,moonlight_sonata_i_yangqin_tongue_mix.wav,325.869,-23.409,7b0413dd4f85807969242b831c512758834e18b878ec4181c67ad308e9b8b79b
physical_piano,scores/examples/physical_piano.score.json,physical_piano.wav,7.575,-18.579,607d0d3bc578136ff8ebb0bd5c428582d2c2db6ede3989286284539399d52f71
restraint_metal_click,scores/examples/restraint_metal_click.score.json,restraint_metal_click_001.wav,4.929,-32.151,be634798c4a0bf71009c73d4b7b9be495889744aa9ef95d1260d67ff15e47d3a
moonlight_sonata_movement1_tongue_drum,scores/examples/moonlight_sonata_movement1_tongue_drum.score.json,moonlight_sonata_i_tongue_drum.wav,327.289,-20.222,c37ac02d01f08a307b1bafcbc5aa6068fe041049fa75a2cb7b240c4a18ccb92e
water_gong_free,scores/examples/water_gong_free.score.json,water_gong_free.wav,10.075,-25.021,31b539c6ac08d942970e9d9c042b5ac3b0749c0d25ee0091bb51534ecd8ebff9
ai_radiance_m1,scores/originals/ai_radiance/ai_radiance_m1.score.json,Original_AI_Radiance_Movement1.wav,35.930,-22.380,74122637a0c71278d174e9f4b0e4a002e5641a9f4cb5b813852238ec20f8204d
fur_elise_opening,scores/examples/fur_elise_opening.score.json,fur_elise_opening.wav,6.780,-17.549,b0877774da9e5fc5e2134d8c1db57cb382e19cfa0d87e47c1784020cbcf9c9c5
