piece,score_path,wav,len_s,rms_dbfs,centroid_hz,sha256
vivaldi_summer_m2,scores/classical/vivaldi_four_seasons/summer/vivaldi_four_seasons_summer_m2.score.json,Classical_Vivaldi_Summer_Movement2.wav,122.662,-21.149,473.27,ee11a1d2b6e136d61bbb60f17f0c1a9bb91b9d1414e4cde2f9d7fe2ba74edfe3
vivaldi_summer_m3,scores/classical/vivaldi_four_seasons/summer/vivaldi_four_seasons_summer_m3.score.json,Classical_Vivaldi_Summer_Movement3.wav,157.747,-16.684,457.56,7c665061ff56fce20d7151e64318a283a9bfb7355dfa6919ba16a559e045dfd4
moonlight_yangqin,scores/examples/moonlight_sonata_movement1_yangqin.score.json,moonlight_sonata_i_yangqin.wav,317.495,-23.890,794.52,6e2234939a24992cd4afa34fd43a6652241a643ddaca2bde2e0f37f96d1329d0
akashic_opening_bell,scores/library/akashic/akashic_opening_bell_001.score.json,akashic_opening_bell_001.wav,29.611,-21.004,396.33,c672c9415f57763e701445b88ac0d3aeb9383960c3211eb480bc5d73dc594683
ai_radiance_m1,scores/originals/ai_radiance/ai_radiance_m1.score.json,Original_AI_Radiance_Movement1.wav,35.930,-22.319,2116.70,633d3262f1816844f8fa17661f9a09c710330486e682772e640cc37919816edf
vivaldi_autumn_m2,scores/classical/vivaldi_four_seasons/autumn/vivaldi_four_seasons_autumn_m2.score.json,Classical_Vivaldi_Autumn_Movement2.wav,162.204,-26.375,459.16,5488902cf94f6ec3d7a3034ddd073b31c27a7af7a95851c3649a301da614a493
